Date,Time,Open,High,Low,Close
2020-05-27,09:07:00,17623.275,17603.4,17603.4,17603.4
2020-05-27,10:14:00,17666.915,17634.35,17623.7,17625.8
2020-05-27,11:14:00,17847.034999999996,17869.95,17855.9,17857.7
2020-05-27,12:14:00,17930.325,17896.3,17878.3,17884.85
2020-05-27,13:14:00,18072.65,18081.1,18069.45,18076.6
2020-05-27,14:14:00,18528.005,18554.3,18471.5,18549.15
2020-05-27,15:14:00,18738.135,18746.25,18730.75,18734.1
2020-05-28,09:07:00,18967.03,18924.45,18924.45,18924.45
2020-05-28,10:14:00,19256.879999999997,19246.15,19209.85,19242.0
2020-05-28,11:14:00,19382.625,19426.0,19394.8,19416.2
2020-05-28,12:14:00,19298.475000000002,19310.6,19295.35,19307.3
2020-05-28,13:14:00,19109.965000000004,19090.55,19063.5,19076.4
2020-05-28,14:14:00,19099.140000000003,19076.75,19051.6,19073.45
2020-05-28,15:14:00,19164.885,19162.5,19151.7,19154.65
2020-05-29,09:07:00,18947.950000000004,18962.0,18962.0,18962.0
2020-05-29,10:14:00,18887.04,18895.1,18881.9,18895.1
2020-05-29,11:14:00,19083.45,19105.45,19085.15,19087.75
2020-05-29,12:14:00,19033.565000000002,19020.45,19005.4,19009.25
2020-05-29,13:14:00,19022.094999999998,19028.25,19010.55,19019.0
2020-05-29,14:14:00,19220.155000000002,19227.5,19207.95,19222.45
2020-05-29,15:14:00,19300.315,19346.6,19335.7,19337.35
2020-06-01,09:07:00,19888.335,19728.9,19728.9,19728.9
2020-06-01,10:14:00,20048.67,20094.25,20083.45,20088.0
2020-06-01,11:14:00,20059.644999999997,20064.65,20048.5,20051.85
2020-06-01,12:14:00,20170.395,20141.0,20124.4,20138.7
2020-06-01,13:14:00,20120.305,20133.25,20118.3,20131.55
2020-06-01,14:14:00,19877.405,19882.4,19858.8,19882.4
2020-06-01,15:14:00,19955.905000000002,19979.9,19967.15,19969.05
2020-06-02,09:07:00,19959.9,20120.6,20120.6,20120.6
2020-06-02,10:14:00,20074.135000000002,20113.7,20095.7,20097.0
2020-06-02,11:14:00,20078.969999999998,20089.2,20068.75,20077.6
